x,y,z,intensity
134,8,65,32.0
134,8,66,34.0
134,8,67,35.0
134,8,68,35.0
134,8,69,34.0
134,8,70,34.0
134,8,71,37.0
134,8,72,37.0
134,8,73,41.0
134,8,74,38.0
134,8,75,42.0
134,8,76,50.0
134,8,77,54.0
134,8,78,51.0
134,8,79,61.0
134,8,80,63.0
134,8,81,67.0
134,8,82,84.0
134,8,83,79.0
134,8,84,106.0
134,8,85,150.0
134,9,59,35.0
134,9,60,32.0
134,9,61,31.0
134,9,62,38.0
134,9,63,47.0
134,9,64,51.0
134,9,65,44.0
134,9,66,46.0
134,9,67,49.0
134,9,68,43.0
134,9,69,52.0
134,9,70,53.0
134,9,71,53.0
134,9,72,62.0
135,6,81,128.0
135,6,82,120.0
135,6,83,110.0
135,6,84,102.0
135,6,85,86.0
135,6,86,81.0
135,6,87,83.0
135,6,88,69.0
135,6,89,75.0
135,6,90,67.0
135,6,91,71.0
135,6,92,69.0
135,6,93,66.0
135,6,94,63.0
135,6,95,66.0
135,6,96,77.0
135,6,97,81.0
135,7,62,110.0
135,7,63,109.0
135,7,64,107.0
135,7,65,104.0
135,7,66,97.0
135,7,67,91.0
135,7,68,87.0
135,7,69,82.0
135,7,70,77.0
135,7,71,72.0
135,7,72,66.0
135,7,73,60.0
135,7,74,66.0
135,7,75,61.0
135,7,76,54.0
135,7,77,43.0
135,7,78,41.0
135,7,79,50.0
135,7,80,41.0
135,7,81,45.0
135,7,82,45.0
135,7,83,51.0
135,7,84,49.0
135,7,85,54.0
135,7,86,47.0
135,7,87,48.0
135,7,88,61.0
135,7,89,62.0
135,7,90,73.0
135,8,57,64.0
135,8,58,50.0
135,8,59,38.0
135,8,60,35.0
135,8,61,35.0
135,8,62,29.0
135,8,63,29.0
135,8,64,30.0
135,8,65,33.0
135,8,66,36.0
135,8,67,30.0
135,8,68,31.0
135,8,69,35.0
135,8,70,29.0
135,8,71,35.0
135,8,72,39.0
135,8,73,37.0
135,8,74,43.0
135,8,75,47.0
135,8,76,51.0
135,8,77,54.0
135,8,78,50.0
135,8,79,73.0
135,8,80,77.0
